word,type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_13
0,1,1,1,1,0,12,1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,8,94,113,10,17,8,10,1,0,3,4,1,0
3,33,11,86,135,44,120,15,5,25,13,7,35,1,2
4,38,24,22,139,3,24,5,2,2,28,5,0,0,1
5,44,29,122,96,89,30,8,6,8,22,5,2,8,2
6,18,1,174,72,4,33,9,0,1,11,0,6,1,1
7,1,0,7,5,0,19,1,0,2,2,0,0,0,1
8,289,287,925,615,222,357,67,82,63,95,51,118,20,24
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,3,0,2,1,2,4,0,0,2,0,0,0,1,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1950,588,2966,1754,162,582,948,279,371,316,218,94,148,41
14,896,695,1003,354,403,523,316,195,163,121,44,104,28,41
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,40,5,9,18,16,53,16,5,10,12,5,2,0,2
17,474,83,385,304,24,318,132,32,92,63,77,21,10,8
18,611,858,1617,712,197,896,483,175,477,239,118,118,56,32
19,8593,4263,10559,8536,2442,6206,4701,1620,1945,1701,968,681,294,378
20,10,2,8,3,4,12,1,1,1,1,0,0,0,0
21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,94,33,258,184,46,368,61,17,22,24,29,20,6,4
23,18495,17895,19851,8780,7229,4076,6337,5467,3135,3114,1864,1610,815,282
24,26,9,56,35,11,86,5,4,4,0,3,1,0,4
25,22462,19115,22812,14050,5595,7313,5241,6220,3895,3339,1983,1803,948,535
26,7585,3666,2048,2628,1371,1115,627,1274,1315,505,692,965,199,56
27,0,0,0,1,0,0,2,0,0,3,0,0,0,0
28,1,1,4,2,1,4,0,0,0,0,0,0,0,0
29,1255,996,6989,1063,447,542,491,383,273,160,69,142,249,36
30,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,7,1,4,7,3,0,8,2,1,2,3,0,0,0
32,9,10,19,12,4,3,1,5,0,8,0,1,1,0
33,1,5,10,1,2,3,3,0,0,0,0,0,2,2
34,8,5,3,18,3,2,4,3,5,5,7,2,0,1
35,136,149,162,368,106,631,69,31,38,23,24,49,9,17
36,1879,2654,3673,1094,713,944,1080,818,421,621,327,156,124,480
37,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,2560,2445,2706,2309,743,1924,1384,794,472,366,498,206,78,98
39,2,1,2,2,0,1,0,0,0,1,1,0,0,0
40,15,6,84,207,27,239,19,6,16,8,10,47,0,4
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,15,4,7,4,4,38,2,1,3,5,2,0,0,0
43,1175,447,2731,1482,719,1139,521,182,154,273,115,122,311,49
44,0,0,1,3,0,0,4,0,0,0,0,0,0,1
45,1625,3634,1644,739,292,259,329,761,276,336,619,110,65,38
46,1,0,0,0,0,0,0,0,0,1,0,0,0,0
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6,3,7,55,20,11,1,0,1,1,0,1,0,1
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,11,3,1,0,0,0,0,0,0,0,0
51,6,0,6,7,0,2,0,0,0,1,0,1,0,0
52,5,2,18,77,0,13,1,0,2,15,1,2,0,3
53,4477,4412,5739,1469,1053,3308,1440,1983,656,392,900,305,202,41
54,137,38,699,226,30,623,64,10,19,19,11,12,4,6
55,0,0,1,1,0,1,0,0,0,0,0,0,0,0
56,1401,973,3453,2121,1131,418,262,262,174,341,87,139,48,6
57,4424,1210,1561,1192,1702,1866,196,574,96,288,254,47,13,3
58,455,296,1587,1425,366,553,406,88,109,129,74,109,86,32
59,55,23,178,114,8,13,21,10,12,12,3,10,5,19
60,378,537,22,89,114,52,58,91,469,9,105,107,0,1
61,381,31,237,131,13,69,89,21,44,30,13,24,102,9
62,20447,16198,12099,6187,5867,5400,7257,4659,2908,2510,1805,911,732,244
63,1,0,0,1,0,0,0,0,0,2,0,0,0,0
64,12086,7861,9608,4471,1940,3225,2855,2863,1692,1499,861,832,525,236
65,1,12,1,3,2,3,3,5,0,0,2,3,0,1
66,2,0,0,0,0,1,0,0,0,0,0,0,0,0
67,38,33,134,56,29,20,12,39,6,5,4,0,0,0
68,1,0,0,0,0,0,0,0,0,0,0,2,0,0
69,1508,802,2325,2328,583,1618,514,582,227,87,293,62,29,5
70,1,2,27,82,8,32,9,1,3,4,0,12,0,0
71,0,0,0,1,0,0,0,0,0,2,0,3,0,0
72,21,63,14,15,71,52,11,35,3,12,7,12,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4,0,6,18,0,20,0,0,0,1,0,0,0,2
75,7,0,11,2,6,8,3,0,0,0,0,27,0,0
76,87,63,222,37,25,103,28,13,27,86,9,1,18,0
77,0,0,0,1,1,3,0,0,0,4,0,0,1,0
78,947,468,341,524,227,1591,76,293,130,47,52,7,410,5
79,7,1,200,4,0,4,3,1,6,2,2,0,0,0
81,61,9,153,91,1,115,7,9,9,73,4,1,7,10
82,54,43,37,23,33,48,5,25,9,8,1,6,1,1
83,1890,1459,3678,1735,481,1461,2991,540,306,257,182,90,239,55
84,2281,240,1305,3602,350,379,99,143,149,240,78,75,10,9
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,2,0,1,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,7046,1226,4430,1221,1299,2206,771,351,392,692,3054,77,209,45
89,193,70,294,354,38,69,44,40,23,115,34,50,8,7
90,0,0,0,0,0,10,1,0,0,0,0,0,0,0
92,0,2,0,3,4,0,0,0,0,0,0,0,0,0
93,4,17,1,7,1,3,3,3,19,2,16,1,0,1
94,9634,13141,5224,2346,1375,1949,1699,4558,1407,1470,1344,298,650,116
95,22,0,12,6,30,18,24,1,1,1,2,0,0,0
96,0,0,0,0,0,5,0,0,0,0,0,0,0,0
97,2,0,0,3,4,3,3,0,1,0,1,0,0,0
98,28,1,23,138,0,31,8,1,12,13,2,9,1,7
99,8,1,3,43,52,8,0,0,2,1,0,1,1,0
100,1361,1241,1412,1205,521,437,978,380,226,1081,133,45,21,29
101,11314,2070,2641,2241,913,846,3096,793,361,702,267,192,179,43
102,2,4,1,3,0,4,0,0,4,1,0,0,1,0
103,12,5,23,84,10,163,16,1,0,4,2,1,1,0
104,19,4,44,26,8,46,16,2,29,8,24,8,0,7
106,30,45,26,7,6,55,29,4,11,0,2,0,5,0
107,5,7,15,43,33,23,10,2,1,15,1,1,116,0
108,1,0,0,0,0,0,0,0,10,0,0,1,0,0
